idpk,CIK,year,assets,CurrentAssets,NoncurrentAssets,liabilities,CurrentLiabilities,NoncurrentLiabilities,LiabilitiesAndStockholdersEquity,equity,CommonStockValue,RetainedEarningsAccumulatedDeficit,AccumulatedOtherComprehensiveIncomeLoss,MinorityInterest,revenues,SalesRevenueNet,CostOfGoodsSold,GrossProfit,OperatingExpenses,SellingGeneralAndAdministrativeExpense,ResearchAndDevelopmentExpense,OperatingIncomeLoss,InterestExpense,IncomeBeforeIncomeTaxes,IncomeTaxExpenseBenefit,NetIncomeLoss,PreferredStockDividendsAndOtherAdjustments,NetIncomeLossAvailableToCommonStockholdersBasic,EarningsPerShareBasic,EarningsPerShareDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfDilutedSharesOutstanding,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInFinancingActivities,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndCashEquivalentsAtCarryingValue,PaymentsToAcquirePropertyPlantAndEquipment,ProceedsFromIssuanceOfCommonStock,PaymentsOfDividends,RepaymentsOfDebt,ProceedsFromIssuanceOfDebt,DepreciationAndAmortization,InventoryNet,AccountsReceivableNetCurrent,AccountsPayableCurrent,Goodwill,IntangibleAssetsNetExcludingGoodwill,PropertyPlantAndEquipmentNet,LongTermDebtNoncurrent,ShortTermBorrowings,IncomeTaxesPayableCurrent,EntityRegistrantName,EntityCentralIndexKey,TradingSymbol,EntityIncorporationStateCountryCode,EntityFilerCategory,DocumentPeriodEndDate,DocumentFiscalPeriodFocus,DocumentFiscalYearFocus,DocumentType,AmendmentFlag,CurrentFiscalYearEndDate
138,7623,2019,21325474,12145158,,8288399,5765381,,21325474,15991034,42250,9966928,,,5365536,,,1119807,1428528,,178000,-308721,69676,,221573,-566452,,,-0.14,-0.14,4170818,4170818,494898,-35085,-579399,-119586,212400,64401,,,,,,10257102,1537113,802062,,,5647485,2523018,,,,,,,,,,,,,
139,7623,2020,19346938,11407230,,7553356,5202764,,19346938,13037075,43211,8547342,,,4124226,,,604844,1327469,,149000,-722625,85039,,-174908,-605932,,,-0.14,-0.14,4243707,4243707,-713407,840657,-127517,-267,3145,53056,,,,,,9314429,1679975,1205313,,,5362907,2350592,,,,,,,,,,,,,
140,7623,2021,18803013,10301350,,8896268,6164776,,18803013,11793582,44700,6443856,,,5025924,,,977162,1446858,,199000,-469696,83274,,-106579,-437192,,,-0.1,-0.1,4315481,4315481,-960128,-265890,1226160,,2684,267141,,,,,,7762400,2390604,1955404,,,5218662,2713150,,,,,,,,,,,,,
141,7623,2022,20854048,12174245,,10499601,7686817,,20854048,9906745,45835,6656487,,,5400572,,,1042678,1411201,,152000,-368523,58684,,-84312,-315238,,,-0.07,-0.07,4475279,4475279,681302,-155927,-524169,,2658,163927,0,,,,,9210103,2663030,1737091,,,5237328,2635467,,,,,,,,,,,,,
142,7623,2023,23948314,14133429,,12797677,9267289,,23948314,10354447,50137,6754284,,,12888420,,,3385301,3501085,,193000,-115784,174096,,-61749,-406489,,,-0.09,-0.09,4569720,4569720,1168816,-174133,-993880,,5055,174133,431408,,,,,10611552,2722298,2630966,,,6178917,2904241,,,,,,,,,,,,,
143,7623,2024,24402114,15085494,,12760859,9395023,,24402114,11150637,51069,7021253,,,7086864,,,2186874,1643428,,204000,543446,111813,,93331,342210,,,0.07,0.07,4976955,4976955,1268597,-310757,-958883,,4014,296114,,,,,,11031362,3432216,2256502,,,5060595,2629862,,,,,,,,,,,,,
144,6955,2014,2119332000,785240000,,1039065000,321842000,,2119332000,,15399000,1188685000,,,,1276521000,765061000,511460000,,,17100000,204514000,,,29354000,87290000,,,1.25,1.17,70099000,74940000,182329000,-83548000,-72135000,23963000,44221000,,,2748000,,,,142549000,219075000,154049000,866412000,376692000,201496000,515000000,,,,,,,,,,,,,
145,6955,2015,1856879000,542990000,,855168000,299121000,,1856879000,,15695000,1349602000,,,,1279742000,772792000,506950000,,,21000000,190145000,,,15372000,30048000,,,0.41,0.4,72979000,74580000,193789000,-252682000,98605000,35802000,68184000,,,2911000,,,,162620000,227008000,145798000,734952000,365177000,169101000,385500000,,,,,,,,,,,,,
146,6955,2016,1636917000,560389000,,963916000,235056000,,1636917000,,15787000,1367176000,,,,1399862000,852990000,546872000,,,20000000,203108000,,,32573000,163573000,,,2.31,2.26,70942000,72486000,126180000,261507000,-381938000,5026000,103986000,,,2919000,,,,142752000,193081000,118115000,742770000,308762000,142458000,584309000,,,,,,,,,,,,,
147,6955,2017,1438660000,542652000,,917710000,241912000,,1438660000,,15879000,1259645000,,,,1249254000,787413000,461841000,,,17700000,53554000,,,5519000,19872000,,,0.32,0.32,61262000,62055000,131434000,-21272000,-15417000,59834000,109012000,,,2598000,,,,130756000,186829000,115051000,608256000,239475000,114015000,561681000,,,,,,,,,,,,,
148,6955,2018,1516955000,646926000,,1016416000,378934000,,1516955000,,16040000,1191042000,,,,1149410000,746013000,403397000,,,18300000,-100217000,,,-25170000,-105174000,,,-1.78,-1.78,59010000,59010000,117697000,-83134000,-18430000,10758000,168846000,,,2376000,,,,143651000,190206000,133387000,519276000,220489000,94521000,531940000,,,,,,,,,,,,,
149,6955,2019,1481338000,660900000,,922626000,330961000,,1481338000,,16285000,1166955000,,,292531000,288955000,188044000,260370000,,,8900000,-84852000,,,-22614000,-66213000,,,-1.11,-1.11,59436000,59436000,88499000,-27625000,-15150000,49967000,179604000,,,2358000,,,,156356000,187749000,130838000,272419000,181037000,90220000,502695000,,,,,,,,,,,,,
150,6955,2020,1124274000,730325000,,823095000,300401000,,1124274000,,16384000,915466000,,,158551000,,,283284000,,,8700000,50206000,,,14450000,-21648000,,,-0.36,-0.35,60441000,61028000,106093000,-62751000,-17993000,-47047000,229571000,,,2390000,,,,77187000,125883000,76914000,280132000,52375000,56729000,452945000,,,,,,,,,,,,,
151,6955,2021,824294000,341132000,,465068000,105522000,,824294000,,16519000,917671000,,,280060000,,,292652000,,209231000,9300000,47516000,,,10657000,-249145000,,,-4.07,-4.04,61151000,61607000,53845000,11046000,-99517000,,250490000,,,2439000,,,,69171000,84170000,45069000,260415000,62382000,61405000,255000000,,,,,,,,,,,,,
152,6955,2022,820247000,357435000,,408049000,134764000,,820247000,,16604000,953339000,,,119430000,,,217193000,,180513000,7300000,24181000,,,2292000,723000,,,0.01,0.01,59952000,60269000,-3159000,176073000,-238926000,,152170000,,,2419000,,,,75347000,103233000,61958000,281154000,54545000,48590000,175000000,0,,,,,,,,,,,,
153,6955,2023,757312000,342380000,,438701000,153188000,,757312000,,16679000,966751000,,,528660000,,,243156000,,175277000,7400000,51113000,,,3763000,38077000,,,0.63,0.63,60024000,60403000,54183000,13301000,-81516000,,120699000,,,2394000,,,,83672000,106747000,72524000,277593000,41507000,41372000,200000000,4000000,,,,,,,,,,,,
154,6955,2024,762597000,355640000,,435977000,148120000,,762597000,,16752000,1011112000,,,571223000,,,265388000,,216874000,7300000,30660000,,,4401000,7453000,,,0.26,0.26,59538000,59909000,51736000,-7241000,-52202000,,154415000,,,2409000,,,,74765000,97649000,50483000,257949000,37338000,38968000,210337000,,,,,,,,,,,,,
155,723531,2014,6163700000,4832600000,,4390000000,4268200000,,6163700000,1496200000,3700000,1088500000,,,2229800000,,,,1375900000,705800000,,853900000,,,312300000,548000000,,,1.51,1.51,362400000,363000000,706600000,-1244300000,527500000,-10200000,119000000,89600000,,,,,,,133400000,42700000,533900000,45200000,346000000,,,,,,,,,,,,,,
156,723531,2015,6370100000,5002500000,,4593100000,4438900000,,6370100000,1604500000,3600000,957500000,,,2326200000,,,,1421400000,750100000,,904800000,,,342400000,569000000,,,1.56,1.56,363800000,364700000,266700000,30800000,-293200000,-1500000,108800000,98700000,,,,,,,149400000,48800000,540300000,40600000,342200000,,,,,,,,,,,,,,
157,723531,2016,6482500000,5103200000,,4697000000,4573000000,,6482500000,1773700000,3600000,894300000,,,2518900000,,,,1536200000,803700000,,982700000,1100000,,360600000,171300000,,627500000,1.72,1.71,364500000,366100000,,,,45200000,107300000,84100000,,,,,,,176600000,51700000,561500000,32400000,353900000,,,,,,,,,,,,,,
158,723531,2017,6440800000,4863600000,,4529100000,4365900000,,6440800000,1777000000,3600000,926200000,,,2739600000,,,,1686000000,878000000,,1053600000,700000,,385100000,,,674900000,1.86,1.85,362900000,364600000,,,,17500000,152500000,102800000,,,,,,,,56700000,657100000,,353000000,,51300000,,,,,,,,,,,,
159,723531,2018,6833700000,5272000000,,4878400000,4725100000,,6833700000,1785500000,3600000,901700000,,,2951900000,,,,1805300000,948200000,,1146600000,1100000,,394300000,,,756800000,2.1,2.09,360700000,362500000,1018200000,-63100000,-993600000,-38500000,170000000,97700000,,,,,,,,57200000,657100000,57600000,337200000,,57200000,,,,,,,,,,,,
160,723531,2019,7915400000,5893600000,,5558600000,5296700000,,7915400000,1911700000,3600000,1262600000,,,3153000000,,,,1899100000,979700000,,1253900000,2500000,,432800000,,,826300000,2.3,2.28,359800000,362600000,960400000,-662200000,-482700000,49800000,184600000,94300000,,,,,,,,73700000,657100000,141400000,393500000,800000000,56700000,,,,,,,,,,,,
161,723531,2020,8676000000,5677700000,,6056500000,4845000000,,8676000000,2227200000,3600000,1409500000,,,3377700000,,,,542500000,1068000000,,1291500000,3900000,,306000000,,,994100000,2.77,2.75,359000000,361500000,1276400000,998500000,-423800000,,358200000,154000000,,,,,,,,75900000,814000000,399100000,408700000,796400000,56500000,,,,,,,,,,,,
162,723531,2021,8550700000,5464600000,,5769300000,4426900000,,8550700000,2356800000,3600000,1431400000,,,3772500000,,,,,1223400000,,1371300000,17600000,,333600000,,,1034400000,2.88,2.86,359200000,361800000,1271500000,-1628300000,-1008500000,,673600000,123800000,,,,,,,,79400000,1782600000,330600000,407400000,796800000,5100000,,,,,,,,,,,,
163,723531,2022,9227200000,6169500000,,6279200000,4938200000,,9227200000,2619500000,3600000,1445900000,,,4040500000,,,,,1299200000,,1460500000,38800000,,339000000,,,1098100000,3.06,3.04,358500000,361000000,1440900000,771900000,-1488200000,,905200000,127000000,,,,,,,,89000000,1791100000,275800000,395800000,797300000,7400000,,,,,,,,,,,,
164,723531,2023,9635200000,6581600000,,6550000000,5269200000,,9635200000,2781400000,3600000,1669600000,,,4056800000,,,,,1324900000,,1460700000,35800000,,336700000,,,333600000,3.05,3.03,359900000,362100000,1260300000,-460600000,-636400000,,995200000,118400000,,,,,,,,105700000,1820700000,224600000,401300000,797700000,8700000,,,,,,,,,,,,
165,723531,2024,10546400000,7528100000,,7053200000,5805400000,,10546400000,2948000000,3600000,2023100000,,,4611700000,,,,,1415400000,,1840000000,36600000,,431800000,,,1392800000,3.86,3.84,360600000,363100000,1589700000,-1505100000,-979300000,,370000000,133800000,,,,,,,,84700000,1831500000,187400000,396300000,798200000,10200000,,,,,,,,,,,,
173,1841800,2021,356692,1204108,,8367378,332691,,356692,0,0,-999,,,,,,,,,,-649865,,,,-1000,,,,,,,1,-231499860,25000,25001,0,,25000,,,,,,,,,,,,,,,,,,,,,,,,
174,1841800,2022,232365298,698219,,9289035,1306281,,232365298,-13218000,4000,-8424167,,,55221000,,,,,,4033000,-1000,374000,,0,-1494000,,1493000,0.04,0.04,39621946,40896279,0,-2058000,25000,25000,4380000,558000,25000,,,,,2408000,1977000,16098000,0,,1789000,,,,,,,,,,,,,,
175,1841800,2023,74933000,35228000,,147957000,53722000,,74933000,-13230000,0,-82294000,,,25199000,,,,,,1577000,-10053000,652000,,158000,-9942000,,-9942000,-5.02,-5.02,1981097,1981097,-5277000,-101000,3652000,,1345000,101000,1375000,,,,,,1578000,19605000,6748000,,1595000,,,,,,,,,,,,,,
177,8504,2014,69991477,5401303,64590174,41080876,6506178,34574698,69991477,28910601,115005,-20462406,,,,,,,,,,369055,118245,,0,20036,,-172851,,0,67836529,,-101131,-1501959,1300000,-303090,767494,,,,,,863098,238794,2461746,2424009,,,,31547255,,,,,,,,,,,,,
178,8504,2015,76058096,7411168,68646928,30057109,4139356,25917753,76058096,46000987,7643,-17280817,,,,,,,,,,883033,378928,,0,103634,,-295813,,-0.04,7293877,,-65848,-327512,521806,128446,805524,,,,,,,248218,1278509,3042835,,,,23011660,,,,,,,,,,,,,
179,8504,2016,21834401,7213213,14621188,24367974,4260559,20107415,21834401,-2533573,8424,-71391881,,,,,,,,,,-17922200,309496,,0,-17354561,,-17761649,,-2.28,7795823,,,,,2128038,3101682,,,,,,,144327,977488,1142842,,,,16625000,,,,,,,,,,,,,
180,8504,2017,7991861,1678967,6312894,26469746,19754406,6715340,7991861,-2533573,8424,-87577862,,,,,,,,,,-5527666,329763,,,-5691789,,-6278193,-1.24,-0.75,8423936,8423936,-1291986,-260068,-686660,-1072176,3101682,,,,,,,185733,600255,294241,,,,,,,,,,,,,,,,,
181,8504,2018,311263,197560,,1967419,1967419,,311263,-896612,420,-3596408,,,35199,,,22768,158831,,316,-136063,41171,,0,-172580,,,,,,,-168634,-12775,190000,8591,15887,12775,0,,,101050,,158632,255,426154,0,0,38703,,,,,,,,,,,,,,
182,8504,2019,6808151,2831675,,300412,300412,,6808151,-1656156,12549,-5676091,,,29191,,,5393,196541,,476,-191148,27414,,0,-203497,,,,,,,-769799,221255,3980000,3431456,35289,0,250000,,,,,149482,93,197827,3270984,677118,28374,,,,,,,,,,,,,,
183,8504,2020,4795509,1129160,,521875,521875,,4795509,6507739,15424,-8198785,,,45993,,,12045,577048,,0,-565003,462,,0,-565465,,-1385211,,,,,-418636,0,-31970,-450606,2601730,0,,,,,,221167,65833,57432,3108000,520573,37776,,,,,,,,,,,,,,
184,8504,2021,4795509,1129160,,521875,521875,,4795509,6507739,15424,-8198785,,,107785,,,21910,1889214,,0,-1867304,501,,0,-1867805,,-1989138,,,,,-1121260,-57715,-40998,-1219973,2601730,57715,,,,,20716,221167,65833,57432,3108000,520573,37776,17906,,,,,,,,,,,,,
185,8504,2022,104683041,22995523,,28106128,17148977,,104683041,26354729,75315,-51054344,,,1701592,,,1079688,4040488,,232804,-2960800,,,,-2930530,,-2930530,-0.17,-0.17,68243666,68243666,-1128591,-13278891,14660691,,14590566,82990,,,,,135105,4038508,2888879,2526829,64867282,13565494,952128,808021,,,,,,,,,,,,,
186,8504,2023,104683041,22995523,,28106128,17148977,,104683041,26354729,75315,-51054344,,,9760952,,,4256244,34549016,,4082799,-30292772,7852,,0,-30108680,,-60671696,-0.17,-0.17,79732890,79732890,-12463127,-42497624,45610984,,14590566,525312,4583341,,,,1501826,4038508,2888879,2526829,3108000,13565494,952128,808021,,,,,,,,,,,,,
187,8504,2024,25155901,10547111,,14458345,11031432,,25155901,43224475,7026,-165583091,,,4057069,,,1978632,6139740,,1582343,-4161108,3488851,,,-4599499,,-22991381,-1.03,-1.03,4482500,4482500,-4189928,-254191,2955402,,819024,5337,3817400,,,,1001338,6936980,2200000,3062794,3108000,11507653,799892,489037,678572,,,,,,,,,,,,
188,924805,2014,10561887,10463531,98356,,9009435,,10561887,21377583,55788,-87866655,,,0,,,,,,,-3109951,,,0,-3088865,,,-0.06,,,,-5769590,0,-23139157,-28908747,39372278,,,,,,115924,,,373202,,,,,,,,,,,,,,,,,
189,924805,2015,8587245,8587245,,,8606542,,8587245,1552452,55788,-89438404,,,0,,,,,,,-1588700,,,0,-1571749,,,-0.03,,,,-1802986,0,-73300,-1876286,10463531,,,,,,98356,,,66177,,,,,,,,,,,,,,,,,
190,924805,2016,8624986,8624986,8537,51672,8663070,60,8624986,0,55788,-89457191,,,0,,,,,,,-30328,,,0,-28701,,,0,,,,-88467,-8815,500000,-1361,8587245,0,,,,,0,,,125165,,,8537,,,,,,,,,,,,,,
191,924805,2017,8689050,8683619,5431,,8583895,,8689050,361366,280340,-630633,,,0,,,,,,,-150666,,,100,-150744,,,,,,,-538629,8589155,180000,-126159,402718,215,,,,,785,,,50229,,,5431,,,,,,,,,,,,,,
192,924805,2018,120312000,,,77076000,,,120312000,25411000,490000,16860000,,,1041000,,,,2057000,,,,570000,,-463000,-1235000,,-1242000,,,33249013,33393877,,,,4381000,18985000,59000,0,,,,,,,8998000,981000,,1041000,,,,,,,,,,,,,,
193,924805,2019,329229000,,,216964000,,,329229000,43887000,58000,27437000,,,7402000,,,,9111000,,,,4614000,,-150000,-6883000,,,-0.12,-0.12,58033212,58191542,,,,-17834000,45057000,477000,,,,,,,,32695000,3288000,4807000,2471000,,,,,,,,,,,,,,
194,924805,2020,350911000,,,233314000,,,350911000,127032000,58000,41498000,,0,7402000,,,,9111000,,,,4614000,,-150000,-6883000,,,-0.12,-0.12,58033212,58191542,,,,-17834000,65731000,477000,,,,,819000,,,32695000,3288000,4226000,5563000,,,,,,,,,,,,,,
195,924805,2021,453523000,,,28419000,,,453523000,117597000,58000,66335000,,-2272000,29249000,,,,13130000,,,,3163000,,1476000,8214000,,22020000,0.14,0.14,58052656,58249344,113566000,-714000,-6756000,95917000,88420000,721000,,,,1194000,,,,25384000,45000,,8000,,,,,,,,,,,,,,
196,924805,2022,2018645000,,,1742974000,,,2018645000,129037000,58000,208628000,,-1641000,121902000,,,,14426000,,,,12399000,,6002000,24837000,,23853000,0.38,0.38,58163691,58251588,44271000,-10854000,33109000,708870000,63208000,4631000,455000,,0,62970000,,,,133493000,7868000,,18385000,,,,,,,,,,,,,,
197,924805,2023,3177492000,,,2630884000,,,3177492000,553603000,59000,441923000,,-6995000,346883000,,,,,,,,22444000,,23307000,149650000,,,2.56,2.56,58388445000,58442921000,529397000,6346000,492523000,,168804000,1518000,1667000,,,3626000,,,,172927000,7697000,5163000,21802000,,,,,,,,,,,,,,
198,924805,2024,3230347000,,,2683739000,,,3230347000,553603000,59000,441924000,,-6995000,689790000,,,,,,,,76947000,,38570000,227494000,,,3.84,3.84,59378207000,59378207000,-406365000,-146323000,618528000,,225464000,4900000,0,,,13200000,,,,,5898000,,17823000,,,,,,,,,,,,,,
199,1512762,2014,47447000,45677000,,89829000,53701000,,47447000,-97077000,1000,-99592000,,-155000,,1899000,,,40417000,,34886000,-38518000,1514000,,,-33018000,,,,,4963883,,,,,6864000,7684000,1783000,,,,,,,278000,3302000,943000,2620000,1743000,,,,,,,,,,,,,,
200,1512762,2015,187221000,179136000,,120464000,51783000,,187221000,66801000,3000,-186725000,,-44000,,2751000,,,38744000,,31279000,-35993000,5293000,,,-53635000,,,,,4828214,,,,,25006000,14548000,373000,,,,,404000,,2417000,8778000,943000,2620000,4472000,,,,,,,,,,,,,,
201,1512762,2016,212384000,197386000,,219313000,106018000,,212384000,-6207000,4000,-409985000,,-722000,,31106000,,,95788000,,78224000,-64682000,3900000,,0,-87133000,,,-4.68,-4.68,33390930,36510756,,,,110838000,39554000,2849000,72500000,,,,674000,,1560000,25948000,943000,2620000,10504000,,,,,,,,,,,,,,
202,1512762,2017,178485000,161486000,,159131000,56376000,,178485000,20527000,5000,-537322000,,-1173000,,30041000,,,249108000,,213062000,-219067000,33000,,0,-223260000,,,-1.67,-1.67,41096783,41096783,,,,7834000,150392000,6164000,72500000,,,,1869000,,1859000,19706000,943000,2620000,10772000,,,,,,,,,,,,,,
203,1512762,2018,162611000,145477000,,132076000,28395000,,162611000,31824000,6000,-775492000,,-1289000,190106000,,,,306037000,51597000,254440000,-115931000,7980000,,0,-127337000,,,,,,,-252545000,-6515000,226179000,,124924000,6515000,,,,,2996000,1659000,,15481000,943000,2620000,12773000,,,,,,,,,,,,,,
204,1512762,2019,99467000,84433000,,138058000,33261000,,99467000,,7000,-984831000,,,,,,34873000,233692000,71303000,162389000,-232136000,9552000,,0,-238170000,,,-4.48,-4.48,53133620,53133620,-200286000,-4417000,206787000,,126911000,4573000,,,,,3398000,1659000,,15294000,943000,2620000,6660000,,,,,,,,,,,,,,
205,1512762,2020,408927000,343009000,,303713000,114969000,,408927000,30535000,7000,-894998000,,,,,,,53697000,94177000,110239000,-204416000,9684000,,0,-209339000,,,-3.22,-3.22,65034827,65034827,-159266000,-1188000,105421000,,72356000,789000,,,,,3235000,9807000,,25985000,943000,2620000,5840000,,,,,,,,,,,,,,
206,1512762,2021,841649000,767479000,,560675000,145653000,,841649000,-38591000,7000,-762754000,,,,,,,,137037000,94188000,107768000,17601000,,2942000,89833000,,,1.29,1.23,69679916,73185943,28355000,-12732000,89370000,,72356000,1822000,40903000,,,,3259000,44233000,,15201000,943000,2620000,10108000,,,,,,,,,,,,,,
207,1512762,2022,679334000,602323000,,581608000,165327000,,679334000,105214000,7000,-1049854000,,,,,,,,139079000,142759000,156319000,21166000,,3463000,132244000,,,1.85,1.62,71411705,83491898,154145000,-14401000,223946000,,177668000,7231000,40903000,,81750000,191190000,2888000,37642000,,16159000,900000,3563000,7813000,,,,,,,,,,,,,,
208,1512762,2023,480847000,381234000,,618265000,138694000,,480847000,280974000,8000,-1341608000,,,,,,,,169713000,363105000,-263858000,22959000,,0,-287100000,,,-3.81,-3.81,75449632,75449632,-37432000,-138410000,51879000,,541158000,1289000,,,81750000,191190000,3454000,38791000,,11526000,943000,5931000,8754000,,,,,,,,,,,,,,
209,1512762,2024,629604000,475631000,,823029000,331771000,,629604000,97726000,11000,-1579500000,,,,,,,,198481000,199358000,-256880000,32474000,,-380000,-291754000,,,-3.76,-3.76,77630020,77630020,-241124000,-166850000,54326000,,417195000,,,,260387000,37120000,3699000,62605000,,35219000,943000,,5119000,,,,,,,,,,,,,,
217,1847891,2021,82900,2345754,,57900,57900,,82900,0,,-465,,,0,,,,465,,,,,,,-465,,,,,,,0,0,0,,0,,25000,,,,,,,,,,,,,,,,,,,,,,,,
